FID,REPDIST,PREC,APREC,BUREAU,BASICCAR,AREA,PERIMETER,SHAPE_Length,SHAPE_Area
914,1391,13,NEWTON,CENTRAL BUREAU,13A93,2330938.1342,7699.6670993,0.0219463256951639,2.112645324968e-05
915,1249,12,77TH STREET,SOUTH BUREAU,12A49,5989014.13636,10159.5997797,0.0300603554185355,5.42814397476121e-05
916,1466,14,PACIFIC,WEST BUREAU,14A73,16341844.8713,16821.5558428,0.0497158255712731,0.000148106947831406
917,1469,14,PACIFIC,WEST BUREAU,14A67,9826685.78644,24554.8150607,0.075972330049681,8.9061896944583e-05
918,1395,13,NEWTON,CENTRAL BUREAU,13A93,10740182.9085,13518.6433217,0.0415534673841161,9.73430349678036e-05
919,1394,13,NEWTON,CENTRAL BUREAU,13A93,3737769.87486,8283.49881917,0.0242260184852269,3.38771418366462e-05
920,1393,13,NEWTON,CENTRAL BUREAU,13A93,3729705.36749,8274.75720248,0.0241986899881317,3.38040246640832e-05
921,1452,14,PACIFIC,WEST BUREAU,14A11,7434420.20144,15477.6566976,0.04572949161883,6.73769283511115e-05
922,1467,14,PACIFIC,WEST BUREAU,14A67,13342389.9717,16404.6204378,0.0504088234451022,0.00012092049189071
923,1451,14,PACIFIC,WEST BUREAU,14A11,3939878.24311,15841.2068119,0.0467020912161552,3.57050764440839e-05
924,1252,12,77TH STREET,SOUTH BUREAU,12A51,7153759.55041,10696.172385,0.0323146176587274,6.48346465097753e-05
925,1251,12,77TH STREET,SOUTH BUREAU,12A51,9189789.30779,13271.0925979,0.0394049600727213,8.32858130750422e-05
926,1475,14,PACIFIC,WEST BUREAU,14A73,13942731.1068,16414.5403464,0.047809192554348,0.00012635186996848
927,1462,14,PACIFIC,WEST BUREAU,14A45,9495418.0535,17459.4775703,0.0530799984520852,8.60501627533632e-05
928,1474,14,PACIFIC,WEST BUREAU,14A73,13076561.4407,15383.5900749,0.0456946420341902,0.00011850164308634
929,1259,12,77TH STREET,SOUTH BUREAU,12A69,10699560.4546,13385.1727376,0.0412059169469351,9.69663027377472e-05
930,1472,14,PACIFIC,WEST BUREAU,14A73,15840537.5402,25926.4721402,0.0780751094469933,0.000143540610732462
931,1258,12,77TH STREET,SOUTH BUREAU,12A57,6591331.33519,10291.2723536,0.031204753621183,5.97350438053281e-05
932,1256,12,77TH STREET,SOUTH BUREAU,12A57,5732625.34176,10915.3270845,0.0344392102628374,5.19538001126084e-05
933,1253,12,77TH STREET,SOUTH BUREAU,12A53,10547056.1867,13266.5911452,0.0408346014616988,9.55840394314524e-05
934,1255,12,77TH STREET,SOUTH BUREAU,12A53,10403755.4907,13192.3595055,0.0405881144271086,9.42854142358716e-05
935,1479,14,PACIFIC,WEST BUREAU,14A67,13597437.1843,15747.8875849,0.0480764950558213,0.000123219707994783
936,1257,12,77TH STREET,SOUTH BUREAU,12A57,4287530.59802,10222.520833,0.0325422589025435,3.88555285750424e-05
937,1477,14,PACIFIC,WEST BUREAU,14A67,12061498.3151,14834.5932526,0.0451857809860688,0.000109300895043664
938,1476,14,PACIFIC,WEST BUREAU,14A73,8407770.57311,11844.2579174,0.0355065046151104,7.61906604970898e-05
939,1268,12,77TH STREET,SOUTH BUREAU,12A67,7521435.1247,10983.7102055,0.0331014148985645,6.8158300855433e-05
940,1266,12,77TH STREET,SOUTH BUREAU,12A67,5291587.2081,10795.2561109,0.034121257271059,4.79528499644256e-05
941,1473,14,PACIFIC,WEST BUREAU,14A73,14413091.0692,19202.1468232,0.0603654425743992,0.000130606224293025
942,1265,12,77TH STREET,SOUTH BUREAU,12A53,10992926.8305,13907.2710577,0.0425417378351364,9.96159251979412e-05
943,1269,12,77TH STREET,SOUTH BUREAU,12A69,10656038.3494,13349.1310887,0.0410996475062,9.65634158341978e-05
944,1263,12,77TH STREET,SOUTH BUREAU,12A53,10580501.6276,13264.8248859,0.0408212194058577,9.58787326328175e-05
945,1471,14,PACIFIC,WEST BUREAU,14A73,4487434.19987,14111.0898782,0.0419557301871641,4.06615654587382e-05
946,1267,12,77TH STREET,SOUTH BUREAU,12A67,6186560.26596,11219.5164839,0.0353005933949499,5.60605572283888e-05
947,1483,14,PACIFIC,WEST BUREAU,14A73,13762488.6768,22535.1028105,0.070599174032066,0.000124703036503728
948,1484,14,PACIFIC,WEST BUREAU,14A73,1901001.28626,6447.62390884,0.0194040615127417,1.72253914529572e-05
949,1486,14,PACIFIC,WEST BUREAU,14A73,7571050.36236,16455.2993305,0.0508776907758101,6.86012258691297e-05
950,1485,14,PACIFIC,WEST BUREAU,14A73,4861086.58955,13429.1982771,0.0413411327518696,4.40472896821437e-05
951,1487,14,PACIFIC,WEST BUREAU,14A67,5203360.07089,12583.6315908,0.0377845776025468,4.7148473154928e-05
952,1488,14,PACIFIC,WEST BUREAU,14A67,11288930.5428,15256.2682788,0.0445848166484865,0.000102284872242412
953,1804,18,SOUTHEAST,SOUTH BUREAU,18A3,3702025.11552,8235.61404869,0.0256999083254556,3.35449896046478e-05
954,1803,18,SOUTHEAST,SOUTH BUREAU,18A3,2630262.22925,6628.21873783,0.0204026738346942,2.38334693906169e-05
955,1801,18,SOUTHEAST,SOUTH BUREAU,18A1,8924210.31417,12046.6191482,0.0360977933925,8.08618677255519e-05
956,1802,18,SOUTHEAST,SOUTH BUREAU,18A1,9926092.26715,12620.119034,0.038348434454035,8.99403499916128e-05
957,1273,12,77TH STREET,SOUTH BUREAU,12A73,14001940.0852,15904.8807088,0.0495420876449034,0.000126872139584006
958,1495,14,PACIFIC,WEST BUREAU,14A67,7432774.04795,11046.8556326,0.0334729177266385,6.73454045152779e-05
959,1494,14,PACIFIC,WEST BUREAU,LAX,125603043.807,53735.5831517,0.166653808235327,0.00113789828095421
960,1806,18,SOUTHEAST,SOUTH BUREAU,18A3,4486348.42084,8842.98289809,0.0273675562631345,4.0649989303071e-05
961,1805,18,SOUTHEAST,SOUTH BUREAU,18A3,3260095.37378,7279.08227512,0.0221869429329533,2.95391014536786e-05
962,1492,14,PACIFIC,WEST BUREAU,14A73,14685753.8123,21236.4218358,0.0619645291561876,0.000133045012874269
963,1824,18,SOUTHEAST,SOUTH BUREAU,18A34,12884778.2829,14987.5690411,0.0449155866309011,0.000116736374335192
964,1489,14,PACIFIC,WEST BUREAU,14A67,6738065.15864,10352.1253104,0.0312863340330198,6.10484109037998e-05
965,1283,12,77TH STREET,SOUTH BUREAU,12A73,14650491.945,18520.7592177,0.0567048205856045,0.000132736228410139
966,1491,14,PACIFIC,WEST BUREAU,14A73,8009895.34165,29942.7135274,0.086063645802511,7.25596041528025e-05
967,1823,18,SOUTHEAST,SOUTH BUREAU,18A3,7253525.79068,11295.9003,0.0332176381399342,6.57170682222501e-05
968,1822,18,SOUTHEAST,SOUTH BUREAU,18A17,12078925.2058,13932.1021522,0.0419357177648937,0.0001094351805238
969,1821,18,SOUTHEAST,SOUTH BUREAU,18A17,8588025.00317,11746.6814742,0.0352698870849356,7.78073170794976e-05
970,1496,14,PACIFIC,WEST BUREAU,14A67,3821327.80674,8810.97222036,0.0275942062510753,3.4621402093417e-05
971,1497,14,PACIFIC,WEST BUREAU,14A67,4332235.67833,8869.34209521,0.0272501549097063,3.92483568638889e-05
972,1293,12,77TH STREET,SOUTH BUREAU,12A73,3291423.95955,7925.88977165,0.0232286715139859,2.98184824285606e-05
973,1835,18,SOUTHEAST,SOUTH BUREAU,18A35,2397652.61084,6329.4521791,0.019050358301361,2.17211840946729e-05
974,1836,18,SOUTHEAST,SOUTH BUREAU,18A35,4509687.98198,10504.1161218,0.0314874976344503,4.08536098608654e-05
975,1837,18,SOUTHEAST,SOUTH BUREAU,18A35,10961227.3621,14383.9604108,0.041915613521086,9.92962115796632e-05
976,1841,18,SOUTHEAST,SOUTH BUREAU,18A41,11351730.5758,13753.8289626,0.0408062068858304,0.000102834131998442
977,1832,18,SOUTHEAST,SOUTH BUREAU,18A41,5265382.94132,10588.1195138,0.0334520346383308,4.77005597141847e-05
978,1834,18,SOUTHEAST,SOUTH BUREAU,18A34,6886994.15801,13514.8605779,0.0421223330462174,6.23909369306289e-05
979,1498,14,PACIFIC,WEST BUREAU,14A67,6006321.92693,10013.466482,0.0304017521382515,5.44112605509502e-05
980,1844,18,SOUTHEAST,SOUTH BUREAU,18A34,11519036.7313,14365.5598897,0.0444342143518133,0.0001043469925592
981,1842,18,SOUTHEAST,SOUTH BUREAU,18A41,10473924.9377,13164.8578604,0.0405245242241491,9.48798721712792e-05
982,1846,18,SOUTHEAST,SOUTH BUREAU,18A35,5172854.34597,9195.75165452,0.0279107430769094,4.68579487569449e-05
983,1499,14,PACIFIC,WEST BUREAU,14A67,5579791.39229,10355.5595116,0.0319341234560718,5.05437383882789e-05
984,1493,14,PACIFIC,WEST BUREAU,14A73,8504934.78539,16528.0500112,0.0489357946001267,7.70332785209227e-05
985,1862,18,SOUTHEAST,SOUTH BUREAU,18A63,11262911.1907,14310.3942194,0.043653370122652,0.000102017874890171
986,1863,18,SOUTHEAST,SOUTH BUREAU,18A63,6487878.07949,10319.4774963,0.0308093181326385,5.87664225188205e-05
987,1864,18,SOUTHEAST,SOUTH BUREAU,18A63,7328863.31314,10988.2951078,0.0330812936365567,6.63838300568092e-05
988,1861,18,SOUTHEAST,SOUTH BUREAU,18A97,7281641.73716,10780.4146867,0.0326321874426738,6.595623790894e-05
989,1831,18,SOUTHEAST,SOUTH BUREAU,18A97,7666519.07772,11559.8792323,0.0351608662554981,6.94363645810932e-05
990,1851,18,SOUTHEAST,SOUTH BUREAU,18A97,7555895.56368,11010.8867813,0.0333908596473548,6.84284336195783e-05
